,Gallery Number,Title,Department,Culture,Artist Display Name,Artist Begin Date,Artist End Date,Medium,data
1526,719,Side Chair,The American Wing,American,Hercules Courtenay|Benjamin Randolph,1744      |1737      ,1784      |1792      ,"Mahogany, northern white cedar","The American Wing American Hercules Courtenay|Benjamin Randolph 1744      |1737       1784      |1792       Mahogany, northern white cedar"
1538,723,Side Chair,The American Wing,American,Samuel McIntire,1757      ,1811      ,"Mahogany, ebony, ash, birch, white pine","The American Wing American Samuel McIntire 1757       1811       Mahogany, ebony, ash, birch, white pine"
1668,733,Side Chair,The American Wing,American,John Finlay|Hugh Finlay,1796      |1797      ,1833      |1837      ,"Maple, painted and gilded, cane","The American Wing American John Finlay|Hugh Finlay 1796      |1797       1833      |1837       Maple, painted and gilded, cane"
1824,704,Inkstand,The American Wing,American,William Crolius,          ,9999      ,Stoneware,The American Wing American William Crolius            9999       Stoneware
1840,708,Chest,The American Wing,American,William Searle|Thomas Dennis,1611      |1638      ,1667      |1706      ,"White oak, red oak","The American Wing American William Searle|Thomas Dennis 1611      |1638       1667      |1706       White oak, red oak"
1842,743,Chest,The American Wing,American,Gustav Stickley,1858      ,1942      ,"Oak, cedar, and wrought iron","The American Wing American Gustav Stickley 1858       1942       Oak, cedar, and wrought iron"
1863,717,Chest of drawers,The American Wing,American,John Townsend,1732      ,1809      ,"Mahogany, tulip poplar, pine, chestnut","The American Wing American John Townsend 1732       1809       Mahogany, tulip poplar, pine, chestnut"
1896,750,Chocolate Pot,The American Wing,American,Edward Winslow,1669      ,1753      ,Silver,The American Wing American Edward Winslow 1669       1753       Silver
2037,706,Compote,The American Wing,American,Long Island Flint Glass Works of Christian Dorflinger,1852      ,1863      ,"Blown, cut, and engraved glass","The American Wing American Long Island Flint Glass Works of Christian Dorflinger 1852       1863       Blown, cut, and engraved glass"
2209,704,Covered goblet,The American Wing,American,New Bremen Glass Manufactory|John Frederick Amelung,1784      |1784      ,1795      |1791      ,Blown and engraved glass,The American Wing American New Bremen Glass Manufactory|John Frederick Amelung 1784      |1784       1795      |1791       Blown and engraved glass
2946,733,Secretary-bookcase,The American Wing,American,Robert Fisher,1824      ,1837      ,"Ebonized mahogany, mahogany, mahogany veneer, gilding, bronzing, stamped brass ornaments, and glass (secondary woods: pine, poplar, cherry)
","The American Wing American Robert Fisher 1824       1837       Ebonized mahogany, mahogany, mahogany veneer, gilding, bronzing, stamped brass ornaments, and glass (secondary woods: pine, poplar, cherry)
"
3323,714,Étagère,The American Wing,American,Alexander Roux,1813      ,1886      ,"Rosewood, chestnut, poplar, bird's-eye maple","The American Wing American Alexander Roux 1813       1886       Rosewood, chestnut, poplar, bird's-eye maple"
3344,706,Ewer and Plateau,The American Wing,American,Spaulding and Company|Gorham Manufacturing Company,          |1831      ,9999      |9999      ,Silver,The American Wing American Spaulding and Company|Gorham Manufacturing Company           |1831       9999      |9999       Silver
4173,508,Jar,The American Wing,American,Thomas W. Commeraw|David Morgan,1796      |1797      ,1819      |1802      ,Stoneware,The American Wing American Thomas W. Commeraw|David Morgan 1796      |1797       1819      |1802       Stoneware
4376,743,Lamp,The American Wing,American,Tiffany Studios|Louis Comfort Tiffany,1902      |1848      ,1932      |1933      ,Leaded Favrile glass and bronze,The American Wing American Tiffany Studios|Louis Comfort Tiffany 1902      |1848       1932      |1933       Leaded Favrile glass and bronze
4441,743,Library Table,The American Wing,American,Herter Brothers,1864      ,1906      ,"Rosewood, brass, mother-of-pearl, and abalone","The American Wing American Herter Brothers 1864       1906       Rosewood, brass, mother-of-pearl, and abalone"
4565,706,The Magnolia Vase,The American Wing,American,Tiffany & Co.,1837      ,9999      ,"Silver, gold, enamel, and opals","The American Wing American Tiffany & Co. 1837       9999       Silver, gold, enamel, and opals"
4859,743,Apple Blossoms,The American Wing,American,Charles Caryl Coleman,1840      ,1928      ,Oil on canvas,The American Wing American Charles Caryl Coleman 1840       1928       Oil on canvas
5207,743,Peonies Blown in the Wind,The American Wing,American,John La Farge,1835      ,1910      ,Leaded opalescent glass,The American Wing American John La Farge 1835       1910       Leaded opalescent glass
5252,726,Pier table,The American Wing,American,Joseph B. Barry and Son,1757      ,1838      ,"Mahogany, mahogany veneer, satinwood,
amboyna, pine, gilt bronze with yellow poplar","The American Wing American Joseph B. Barry and Son 1757       1838       Mahogany, mahogany veneer, satinwood,
amboyna, pine, gilt bronze with yellow poplar"
5794,704,Plate,The American Wing,American,Heinrich Roth,1790      ,1810      ,Earthenware; Redware with sgraffito decoration,The American Wing American Heinrich Roth 1790       1810       Earthenware; Redware with sgraffito decoration
6235,704,Pocket bottle,The American Wing,American,American Flint Glass Manufactory|Henry William Stiegel,1764      |1729      ,1774      |1785      ,Blown pattern-molded glass,The American Wing American American Flint Glass Manufactory|Henry William Stiegel 1764      |1729       1774      |1785       Blown pattern-molded glass
6334,731,Presentation Vase,The American Wing,American,Thomas Fletcher|Sidney Gardiner,1787      |1787      ,1866      |1827      ,Silver,The American Wing American Thomas Fletcher|Sidney Gardiner 1787      |1787       1866      |1827       Silver
6335,731,Presentation Vase,The American Wing,American,Sidney Gardiner|Thomas Fletcher,1787      |1787      ,1827      |1866      ,Silver,The American Wing American Sidney Gardiner|Thomas Fletcher 1787      |1787       1827      |1866       Silver
6445,717,Corner chair,The American Wing,American,Joseph Armitt,1697      ,1747      ,Walnut,The American Wing American Joseph Armitt 1697       1747       Walnut
6750,705,Sauceboat,The American Wing,American,Anthony Rasch,1804      ,1858      ,Silver,The American Wing American Anthony Rasch 1804       1858       Silver
7107,715,Sofa,The American Wing,American,J. H. Belter & Co.|John Henry Belter,1854      |1804      ,1865      |1863      ,Rosewood,The American Wing American J. H. Belter & Co.|John Henry Belter 1854      |1804       1865      |1863       Rosewood
7116,728,Sofa,The American Wing,American,Duncan Phyfe,1770      ,1854      ,"Mahogany, tulip poplar, cane, gilded brass","The American Wing American Duncan Phyfe 1770       1854       Mahogany, tulip poplar, cane, gilded brass"
7124,738,Couch,The American Wing,American,Duncan Phyfe & Sons|Duncan Phyfe,1837      |1770      ,1840      |1854      ,"Mahogany, mahogany veneer, pine, ash, modern upholstery","The American Wing American Duncan Phyfe & Sons|Duncan Phyfe 1837      |1770       1840      |1854       Mahogany, mahogany veneer, pine, ash, modern upholstery"
7382,745,Living Room from the Francis W. Little House: Windows and paneling,The American Wing,American,Frank Lloyd Wright,1867      ,1959      ,"Oak, leaded glass","The American Wing American Frank Lloyd Wright 1867       1959       Oak, leaded glass"
7383,704,Jubal and Miriam,The American Wing,American,William Jay Bolton|John Bolton,1816      |1818      ,1884      |1898      ,"Stained glass window; vitreous glass paint, enamel paint, silver stain","The American Wing American William Jay Bolton|John Bolton 1816      |1818       1884      |1898       Stained glass window; vitreous glass paint, enamel paint, silver stain"
7384,701,"Staircase from Chicago Stock Exchange Building, Chicago",The American Wing,American,Louis Henry Sullivan|Dankmar Adler,1856      |1844      ,1924      |1900      ,"Cast iron, electroplate copper finish, mahogany railing","The American Wing American Louis Henry Sullivan|Dankmar Adler 1856      |1844       1924      |1900       Cast iron, electroplate copper finish, mahogany railing"
7706,750,Tankard,The American Wing,American,Gerrit Onckelbag,1670      ,1732      ,Silver,The American Wing American Gerrit Onckelbag 1670       1732       Silver
7731,704,Tankard,The American Wing,American,John Will,1696      ,1774      ,Pewter,The American Wing American John Will 1696       1774       Pewter
7773,750,Tea Urn,The American Wing,American,Paul Revere Jr.,1734      ,1818      ,"Silver, ivory","The American Wing American Paul Revere Jr. 1734       1818       Silver, ivory"
8667,743,Vase,The American Wing,American,John Bennett,1840      ,1907      ,Painted and glazed earthenware,The American Wing American John Bennett 1840       1907       Painted and glazed earthenware
8817,706,Vase,The American Wing,American,Louis Comfort Tiffany|Tiffany Glass and Decorating Company,1848      |1892      ,1933      |1902      ,Favrile glass,The American Wing American Louis Comfort Tiffany|Tiffany Glass and Decorating Company 1848      |1892       1933      |1902       Favrile glass
8924,706,Viking Punch Bowl,The American Wing,American,Tiffany & Co.|Paulding Farnham,1837      |1859      ,9999      |1927      ,"Iron, silver, gold, and streaked ebony","The American Wing American Tiffany & Co.|Paulding Farnham 1837      |1859       9999      |1927       Iron, silver, gold, and streaked ebony"
8946,700,Garden Landscape,The American Wing,American,Louis Comfort Tiffany|Tiffany Studios,1848      |1902      ,1933      |1932      ,Favrile-glass mosaic,The American Wing American Louis Comfort Tiffany|Tiffany Studios 1848      |1902       1933      |1932       Favrile-glass mosaic
9015,743,Wardrobe,The American Wing,American,Herter Brothers,1864      ,1906      ,Cherry,The American Wing American Herter Brothers 1864       1906       Cherry
9265,706,Wine urn,The American Wing,American,Boston & Sandwich Glass Company,1825      ,1888      ,Pressed glass,The American Wing American Boston & Sandwich Glass Company 1825       1888       Pressed glass
9324,766,"""King Lear,"" Act I, Scene I",The American Wing,American,Edwin Austin Abbey,1852      ,1911      ,Oil on canvas,The American Wing American Edwin Austin Abbey 1852       1911       Oil on canvas
9336,768,Repose,The American Wing,American,John White Alexander,1856      ,1915      ,Oil on canvas,The American Wing American John White Alexander 1856       1915       Oil on canvas
9351,762,The Way They Live,The American Wing,American,Thomas Anshutz,1851      ,1912      ,Oil on canvas,The American Wing American Thomas Anshutz 1851       1912       Oil on canvas
9386,768,Ernesta (Child with Nurse),The American Wing,American,Cecilia Beaux,1855      ,1942      ,Oil on canvas,The American Wing American Cecilia Beaux 1855       1942       Oil on canvas
9412,760,"The Rocky Mountains, Lander's Peak",The American Wing,American,Albert Bierstadt,1830      ,1902      ,Oil on canvas,The American Wing American Albert Bierstadt 1830       1902       Oil on canvas
9417,758,Fur Traders Descending the Missouri,The American Wing,American,George Caleb Bingham,1811      ,1879      ,Oil on canvas,The American Wing American George Caleb Bingham 1811       1879       Oil on canvas
9429,774,Mrs. David Chesebrough,The American Wing,American,Joseph Blackburn,1715      ,1815      ,Oil on canvas,The American Wing American Joseph Blackburn 1715       1815       Oil on canvas
9440,766,The Ameya,The American Wing,American,Robert Frederick Blum,1857      ,1903      ,Oil on canvas,The American Wing American Robert Frederick Blum 1857       1903       Oil on canvas
9459,760,An Arctic Summer: Boring Through the Pack in Melville Bay,The American Wing,American,William Bradford,1823      ,1892      ,Oil on canvas,The American Wing American William Bradford 1823       1892       Oil on canvas
9593,762,Little Ida,The American Wing,American,Charles Calverley,1833      ,1914      ,Marble,The American Wing American Charles Calverley 1833       1914       Marble
9618,824,The Cup of Tea,The American Wing,American,Mary Cassatt,1844      ,1926      ,Oil on canvas,The American Wing American Mary Cassatt 1844       1926       Oil on canvas
9620,768,Lady at the Tea Table,The American Wing,American,Mary Cassatt,1844      ,1926      ,Oil on canvas,The American Wing American Mary Cassatt 1844       1926       Oil on canvas
9622,768,Lydia Crocheting in the Garden at Marly,The American Wing,American,Mary Cassatt,1844      ,1926      ,Oil on canvas,The American Wing American Mary Cassatt 1844       1926       Oil on canvas
9652,768,Young Mother Sewing,The American Wing,American,Mary Cassatt,1844      ,1926      ,Oil on canvas,The American Wing American Mary Cassatt 1844       1926       Oil on canvas
9690,769,At the Seaside,The American Wing,American,William Merritt Chase,1849      ,1916      ,Oil on canvas,The American Wing American William Merritt Chase 1849       1916       Oil on canvas
9695,771,James Abbott McNeill Whistler,The American Wing,American,William Merritt Chase,1849      ,1916      ,Oil on canvas,The American Wing American William Merritt Chase 1849       1916       Oil on canvas
9707,760,Heart of the Andes,The American Wing,American,Frederic Edwin Church,1826      ,1900      ,Oil on canvas,The American Wing American Frederic Edwin Church 1826       1900       Oil on canvas
9708,760,The Parthenon,The American Wing,American,Frederic Edwin Church,1826      ,1900      ,Oil on canvas,The American Wing American Frederic Edwin Church 1826       1900       Oil on canvas
9723,759,"View from Mount Holyoke, Northampton, Massachusetts, after a Thunderstorm—The Oxbow",The American Wing,American,Thomas Cole,1801      ,1848      ,Oil on canvas,The American Wing American Thomas Cole 1801       1848       Oil on canvas
9725,759,The Titan's Goblet,The American Wing,American,Thomas Cole,1801      ,1848      ,Oil on canvas,The American Wing American Thomas Cole 1801       1848       Oil on canvas
9727,759,View on the Catskill—Early Autumn,The American Wing,American,Thomas Cole,1801      ,1848      ,Oil on canvas,The American Wing American Thomas Cole 1801       1848       Oil on canvas
9747,748,Daniel Crommelin Verplanck,The American Wing,American,John Singleton Copley,1738      ,1815      ,Oil on canvas,The American Wing American John Singleton Copley 1738       1815       Oil on canvas
9752,748,Midshipman Augustus Brine,The American Wing,American,John Singleton Copley,1738      ,1815      ,Oil on canvas,The American Wing American John Singleton Copley 1738       1815       Oil on canvas
9756,748,Mrs. John Winthrop,The American Wing,American,John Singleton Copley,1738      ,1815      ,Oil on canvas,The American Wing American John Singleton Copley 1738       1815       Oil on canvas
9779,753,Watson and the Shark,The American Wing,American,John Singleton Copley,1738      ,1815      ,Oil on canvas,The American Wing American John Singleton Copley 1738       1815       Oil on canvas
9782,764,Augustus Saint-Gaudens,The American Wing,American,Kenyon Cox,1856      ,1919      ,Oil on canvas,The American Wing American Kenyon Cox 1856       1919       Oil on canvas
9797,758,Genius of Mirth,The American Wing,American,Thomas Crawford,1813      ,1857      ,Marble,The American Wing American Thomas Crawford 1813       1857       Marble
9809,760,The Valley of Wyoming,The American Wing,American,Jasper Francis Cropsey,1823      ,1900      ,Oil on canvas,The American Wing American Jasper Francis Cropsey 1823       1900       Oil on canvas
9930,766,The Letter,The American Wing,American,Thomas Wilmer Dewing,1851      ,1938      ,Oil on canvas,The American Wing American Thomas Wilmer Dewing 1851       1938       Oil on canvas
9965,759,The Beeches,The American Wing,American,Asher Brown Durand,1796      ,1886      ,Oil on canvas,The American Wing American Asher Brown Durand 1796       1886       Oil on canvas
9990,764,The Artist's Wife and His Setter Dog,The American Wing,American,Thomas Eakins,1844      ,1916      ,Oil on canvas,The American Wing American Thomas Eakins 1844       1916       Oil on canvas
9992,764,The Chess Players,The American Wing,American,Thomas Eakins,1844      ,1916      ,Oil on wood,The American Wing American Thomas Eakins 1844       1916       Oil on wood
9998,764,The Champion Single Sculls (Max Schmitt in a Single Scull),The American Wing,American,Thomas Eakins,1844      ,1916      ,Oil on canvas,The American Wing American Thomas Eakins 1844       1916       Oil on canvas
10006,771,The Thinker: Portrait of Louis N. Kenton,The American Wing,American,Thomas Eakins,1844      ,1916      ,Oil on canvas,The American Wing American Thomas Eakins 1844       1916       Oil on canvas
10009,755,Elijah Boardman,The American Wing,American,Ralph Earl,1751      ,1801      ,Oil on canvas,The American Wing American Ralph Earl 1751       1801       Oil on canvas
10079,700,The Angel of Death and the Sculptor from the Milmore Memorial,The American Wing,American,Daniel Chester French,1850      ,1931      ,Marble,The American Wing American Daniel Chester French 1850       1931       Marble
10082,700,Mourning Victory from the Melvin Memorial,The American Wing,American,Daniel Chester French,1850      ,1931      ,Marble,The American Wing American Daniel Chester French 1850       1931       Marble
10083,774,Ralph Waldo Emerson,The American Wing,American,Daniel Chester French,1850      ,1931      ,Bronze,The American Wing American Daniel Chester French 1850       1931       Bronze
10109,761,A Gorge in the Mountains (Kauterskill Clove),The American Wing,American,Sanford Robinson Gifford,1823      ,1880      ,Oil on canvas,The American Wing American Sanford Robinson Gifford 1823       1880       Oil on canvas
10156,763,Still Life—Violin and Music,The American Wing,American,William Michael Harnett,1848      ,1892      ,Oil on canvas,The American Wing American William Michael Harnett 1848       1892       Oil on canvas
10191,751,Molly Wales Fobes,The American Wing,American,Rufus Hathaway,1770      ,1822      ,Oil on canvas,The American Wing American Rufus Hathaway 1770       1822       Oil on canvas
10196,761,Approaching Thunder Storm,The American Wing,American,Martin Johnson Heade,1819      ,1904      ,Oil on canvas,The American Wing American Martin Johnson Heade 1819       1904       Oil on canvas
10201,756,Euphemia White Van Rensselaer,The American Wing,American,George P. A. Healy,1813      ,1894      ,Oil on canvas,The American Wing American George P. A. Healy 1813       1894       Oil on canvas
10213,759,The Falls of Niagara,The American Wing,American,Edward Hicks,1780      ,1849      ,Oil on canvas,The American Wing American Edward Hicks 1780       1849       Oil on canvas
10221,761,A Study of Trap Rock (Buttermilk Falls),The American Wing,American,John Henry Hill,1839      ,1922      ,Oil on canvas,The American Wing American John Henry Hill 1839       1922       Oil on canvas
10249,762,Dressing for the Carnival,The American Wing,American,Winslow Homer,1836      ,1910      ,Oil on canvas,The American Wing American Winslow Homer 1836       1910       Oil on canvas
10255,767,The Gulf Stream,The American Wing,American,Winslow Homer,1836      ,1910      ,Oil on canvas,The American Wing American Winslow Homer 1836       1910       Oil on canvas
10263,767,Northeaster,The American Wing,American,Winslow Homer,1836      ,1910      ,Oil on canvas,The American Wing American Winslow Homer 1836       1910       Oil on canvas
10266,762,Prisoners from the Front,The American Wing,American,Winslow Homer,1836      ,1910      ,Oil on canvas,The American Wing American Winslow Homer 1836       1910       Oil on canvas
10278,762,The Veteran in a New Field,The American Wing,American,Winslow Homer,1836      ,1910      ,Oil on canvas,The American Wing American Winslow Homer 1836       1910       Oil on canvas
10285,758,Daphne,The American Wing,American,Harriet Goodhue Hosmer,1830      ,1908      ,Marble,The American Wing American Harriet Goodhue Hosmer 1830       1908       Marble
10287,762,The Last Moments of John Brown,The American Wing,American,Thomas Hovenden,1840      ,1895      ,Oil on canvas,The American Wing American Thomas Hovenden 1840       1895       Oil on canvas
10331,774,The Flower Girl,The American Wing,American,Charles Cromwell Ingham,1786      ,1863      ,Oil on canvas,The American Wing American Charles Cromwell Ingham 1786       1863       Oil on canvas
10350,761,Autumn Oaks,The American Wing,American,George Inness,1825      ,1894      ,Oil on canvas,The American Wing American George Inness 1825       1894       Oil on canvas
10357,770,"Spring Blossoms, Montclair, New Jersey",The American Wing,American,George Inness,1825      ,1894      ,Oil and crayon or charcoal on canvas,The American Wing American George Inness 1825       1894       Oil and crayon or charcoal on canvas
10384,763,The Hatch Family,The American Wing,American,Eastman Johnson,1824      ,1906      ,Oil on canvas,The American Wing American Eastman Johnson 1824       1906       Oil on canvas
10390,751,Edward and Sarah Rutter,The American Wing,American,Joshua Johnson,1758      ,1829      ,Oil on canvas,The American Wing American Joshua Johnson 1758       1829       Oil on canvas
10423,761,"Eaton's Neck, Long Island",The American Wing,American,John Frederick Kensett,1816      ,1872      ,Oil on canvas,The American Wing American John Frederick Kensett 1816       1872       Oil on canvas
10427,761,Lake George,The American Wing,American,John Frederick Kensett,1816      ,1872      ,Oil on canvas,The American Wing American John Frederick Kensett 1816       1872       Oil on canvas
10441,761,Sunset on the Sea,The American Wing,American,John Frederick Kensett,1816      ,1872      ,Oil on canvas,The American Wing American John Frederick Kensett 1816       1872       Oil on canvas
10485,761,Stage Fort across Gloucester Harbor,The American Wing,American,Fitz Henry Lane (formerly Fitz Hugh Lane),1804      ,1865      ,Oil on canvas,The American Wing American Fitz Henry Lane (formerly Fitz Hugh Lane) 1804       1865       Oil on canvas
10502,760,Washington Crossing the Delaware,The American Wing,American,Emanuel Leutze,1816      ,1868      ,Oil on canvas,The American Wing American Emanuel Leutze 1816       1868       Oil on canvas
10527,770,Victory,The American Wing,American,Evelyn Beatrice Longman,1874      ,1954      ,Bronze,The American Wing American Evelyn Beatrice Longman 1874       1954       Bronze
10541,700,Bacchante and Infant Faun,The American Wing,American,Frederick William MacMonnies,1863      ,1937      ,Bronze,The American Wing American Frederick William MacMonnies 1863       1937       Bronze
10559,700,The Sun Vow,The American Wing,American,Hermon Atkins MacNeil,1866      ,1947      ,Bronze,The American Wing American Hermon Atkins MacNeil 1866       1947       Bronze
10643,756,Susan Walker Morse (The Muse),The American Wing,American,Samuel F. B. Morse,1791      ,1872      ,Oil on canvas,The American Wing American Samuel F. B. Morse 1791       1872       Oil on canvas
10656,758,Cider Making,The American Wing,American,William Sidney Mount,1807      ,1868      ,Oil on canvas,The American Wing American William Sidney Mount 1807       1868       Oil on canvas
10723,753,George Washington,The American Wing,American,Charles Willson Peale,1741      ,1827      ,Oil on canvas,The American Wing American Charles Willson Peale 1741       1827       Oil on canvas
10750,756,Still Life: Balsam Apple and Vegetables,The American Wing,American,James Peale,1749      ,1831      ,Oil on canvas,The American Wing American James Peale 1749       1831       Oil on canvas
10753,756,Still Life with Cake,The American Wing,American,Raphaelle Peale,1774      ,1825      ,Oil on wood,The American Wing American Raphaelle Peale 1774       1825       Oil on wood
10779,751,Mrs. Mayer and Daughter,The American Wing,American,Ammi Phillips,1788      ,1865      ,Oil on canvas,The American Wing American Ammi Phillips 1788       1865       Oil on canvas
10805,760,California,The American Wing,American,Hiram Powers,1805      ,1873      ,Marble,The American Wing American Hiram Powers 1805       1873       Marble
10807,760,George Washington,The American Wing,American,Hiram Powers,1805      ,1873      ,Marble,The American Wing American Hiram Powers 1805       1873       Marble
10810,747,The American School,The American Wing,American,Matthew Pratt,1734      ,1805      ,Oil on canvas,The American Wing American Matthew Pratt 1734       1805       Oil on canvas
10817,772,Central Park,The American Wing,American,Maurice Brazil Prendergast ,1858      ,1924      ,Oil on canvas,The American Wing American Maurice Brazil Prendergast  1858       1924       Oil on canvas
10832,765,Buffalo,The American Wing,American,Alexander Phimister Proctor,1860      ,1950      ,Bronze,The American Wing American Alexander Phimister Proctor 1860       1950       Bronze
10836,758,Leatherstocking's Rescue,The American Wing,American,John Quidor,1801      ,1881      ,Oil on canvas,The American Wing American John Quidor 1801       1881       Oil on canvas
10856,765,The Broncho Buster,The American Wing,American,Frederic Remington,1861      ,1909      ,Bronze,The American Wing American Frederic Remington 1861       1909       Bronze
10862,765,The Mountain Man,The American Wing,American,Frederic Remington,1861      ,1909      ,Bronze,The American Wing American Frederic Remington 1861       1909       Bronze
10943,700,"Nydia, the Blind Flower Girl of Pompeii",The American Wing,American,Randolph Rogers,1825      ,1892      ,Marble,The American Wing American Randolph Rogers 1825       1892       Marble
10970,766,The Toilers of the Sea,The American Wing,American,Albert Pinkham Ryder,1847      ,1917      ,Oil on wood,The American Wing American Albert Pinkham Ryder 1847       1917       Oil on wood
10987,769,Diana,The American Wing,American,Augustus Saint-Gaudens,1848      ,1907      ,Bronze,The American Wing American Augustus Saint-Gaudens 1848       1907       Bronze
10992,700,Hiawatha,The American Wing,American,Augustus Saint-Gaudens,1848      ,1907      ,Marble,The American Wing American Augustus Saint-Gaudens 1848       1907       Marble
11000,764,Mrs. Schuyler Van Rensselaer (Mariana Griswold),The American Wing,American,Augustus Saint-Gaudens,1848      ,1907      ,Bronze,The American Wing American Augustus Saint-Gaudens 1848       1907       Bronze
11007,771,Victory,The American Wing,American,Augustus Saint-Gaudens,1848      ,1907      ,"Bronze, gilt","The American Wing American Augustus Saint-Gaudens 1848       1907       Bronze, gilt"
11040,770,Bringing Down Marble from the Quarries to Carrara,The American Wing,American,John Singer Sargent,1856      ,1925      ,Oil on canvas,The American Wing American John Singer Sargent 1856       1925       Oil on canvas
11115,771,Madame X (Madame Pierre Gautreau),The American Wing,American,John Singer Sargent,1856      ,1925      ,Oil on canvas,The American Wing American John Singer Sargent 1856       1925       Oil on canvas
11128,771,Mr. and Mrs. I. N. Phelps Stokes,The American Wing,American,John Singer Sargent,1856      ,1925      ,Oil on canvas,The American Wing American John Singer Sargent 1856       1925       Oil on canvas
11465,771,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",The American Wing,American,John Singer Sargent,1856      ,1925      ,Oil on canvas,The American Wing American John Singer Sargent 1856       1925       Oil on canvas
11534,700,Frog Fountain,The American Wing,American,Janet Scudder,1869      ,1940      ,Bronze,The American Wing American Janet Scudder 1869       1940       Bronze
11586,747,Francis Brinley,The American Wing,American,John Smibert,1688      ,1751      ,Oil on canvas,The American Wing American John Smibert 1688       1751       Oil on canvas
11588,747,Mrs. Francis Brinley and Her Son Francis,The American Wing,American,John Smibert,1688      ,1751      ,Oil on canvas,The American Wing American John Smibert 1688       1751       Oil on canvas
11634,700,Cleopatra,The American Wing,American,William Wetmore Story,1819      ,1895      ,Marble,The American Wing American William Wetmore Story 1819       1895       Marble
11653,755,Josef de Jaudenes y Nebot,The American Wing,American,Gilbert Stuart,1755      ,1828      ,Oil on canvas,The American Wing American Gilbert Stuart 1755       1828       Oil on canvas
11657,755,Matilda Stoughton de Jaudenes,The American Wing,American,Gilbert Stuart,1755      ,1828      ,Oil on canvas,The American Wing American Gilbert Stuart 1755       1828       Oil on canvas
11793,753,George Washington and William Lee,The American Wing,American,John Trumbull,1756      ,1843      ,Oil on canvas,The American Wing American John Trumbull 1756       1843       Oil on canvas
11799,753,The Sortie Made by the Garrison of Gibraltar,The American Wing,American,John Trumbull,1756      ,1843      ,Oil on canvas,The American Wing American John Trumbull 1756       1843       Oil on canvas
