is_highlight,gallery_number,title,department,object_type,culture,artist,medium,tags
True,764,The Artist's Wife and His Setter Dog,The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Portraits|Women|Dogs
False,764,Carmelita Requena,The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Portraits|Girls
True,764,The Chess Players,The American Wing,Painting,American,Thomas Eakins,Oil on wood,Interiors|Men|Chess|Playing|Cats
True,764,The Champion Single Sculls (Max Schmitt in a Single Scull),The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Bridges|Men|Rowing|Rivers
False,764,Pushing for Rail,The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Birds|Firearms|Men|Hunting
False,764,Signora Gomez d'Arza,The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Portraits|Women
True,771,The Thinker: Portrait of Louis N. Kenton,The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Contemplation|Men|Portraits
False,764,The Writing Master,The American Wing,Painting,American,Thomas Eakins,Oil on canvas,Men|Portraits|Writing
True,755,Elijah Boardman,The American Wing,Painting,American,Ralph Earl,Oil on canvas,Men|Portraits
False,753,Marinus Willett,The American Wing,Painting,American,Ralph Earl,Oil on canvas,Soldiers|Swords|Men|Trees
False,755,Mrs. Noah Smith and Her Children,The American Wing,Painting,American,Ralph Earl,Oil on canvas,Boys|Girls|Portraits|Women|Infants|Mothers
False,751,The Alling Children,The American Wing,Painting,American,Oliver Tarbell Eddy,Oil on canvas,Boys|Portraits|Girls|Cats|Hammers
False,751,Girl of the Bangs-Phelps Family,The American Wing,Painting,American,Erastus Salisbury Field,Oil on canvas,Portraits|Books|Girls
False,760,Isola Bella in Lago Maggiore,The American Wing,Painting,American,Sanford Robinson Gifford,Oil on canvas,Landscapes|Lakes|Mountains
True,761,A Gorge in the Mountains (Kauterskill Clove),The American Wing,Painting,American,Sanford Robinson Gifford,Oil on canvas,Mountains|Landscapes
False,760,Tivoli,The American Wing,Painting,American,Sanford Robinson Gifford,Oil on canvas,Landscapes|Rivers|Sun
False,763,The Artist's Letter Rack,The American Wing,Painting,American,William Michael Harnett,Oil on canvas,
True,763,Still Life—Violin and Music,The American Wing,Painting,American,William Michael Harnett,Oil on canvas,Music|Flutes|Violins|Still Life
False,769,"Avenue of the Allies, Great Britain, 1918",The American Wing,Painting,American,Childe Hassam,Oil on canvas,World War I|Streets|Flags
False,769,The Church at Gloucester,The American Wing,Painting,American,Childe Hassam,Oil on canvas,Churches
True,751,Molly Wales Fobes,The American Wing,Painting,American,Rufus Hathaway,Oil on canvas,Birds|Portraits|Women|Cats|Butterflies
True,761,Approaching Thunder Storm,The American Wing,Painting,American,Martin Johnson Heade,Oil on canvas,Landscapes|Storms|Boats
False,760,Hummingbird and Apple Blossoms,The American Wing,Painting,American,Martin Johnson Heade,Oil on canvas,Birds|Flowers
False,760,Hummingbird and Passionflowers,The American Wing,Painting,American,Martin Johnson Heade,Oil on canvas,Birds|Flowers
False,761,Newburyport Meadows,The American Wing,Painting,American,Martin Johnson Heade,Oil on canvas,Haystacks|Landscapes
True,756,Euphemia White Van Rensselaer,The American Wing,Painting,American,George P. A. Healy,Oil on canvas,Portraits|Women
True,759,The Falls of Niagara,The American Wing,Painting,American,Edward Hicks,Oil on canvas,Animals|Eagles|Snakes|Waterfalls|Trees
False,751,Peaceable Kingdom,The American Wing,Painting,American,Edward Hicks,Oil on canvas,Cows|Ox|Lions|Women|Lambs|Leopards
False,751,"View of Poestenkill, New York",The American Wing,Painting,American,Joseph H. Hidley,Oil on wood,Houses|Churches|Towns|Landscapes
True,761,A Study of Trap Rock (Buttermilk Falls),The American Wing,Painting,American,John Henry Hill,Oil on canvas,Landscapes|Waterfalls
False,767,Camp Fire,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Camps|Tents|Men|Fire
False,767,Cannon Rock,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Waves|Seascapes
True,762,Dressing for the Carnival,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Girls|Women|Children|Boys
False,767,"Eagle Head, Manchester, Massachusetts (High Tide)",The American Wing,Painting,American,Winslow Homer,Oil on canvas,Women|Dogs|Beaches
True,767,The Gulf Stream,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Men|Fish|Seas|Waves|Boats
False,767,Harvest Scene,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Landscapes
False,767,Maine Coast,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Seascapes|Waves
True,767,Northeaster,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Seascapes|Waves|Storms
True,762,Prisoners from the Front,The American Wing,Painting,American,Winslow Homer,Oil on canvas,American Civil War|Soldiers|Prisoners|Men
False,762,Rainy Day in Camp,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Soldiers|American Civil War|Tents|Men|Horses
False,767,"Searchlight on Harbor Entrance, Santiago de Cuba",The American Wing,Painting,American,Winslow Homer,Oil on canvas,Cannons|Moon|Night
False,767,Snap the Whip,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Games|Boys|Playing
False,764,The Studio,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Musicians|Men|Cellos|Violins
True,762,The Veteran in a New Field,The American Wing,Painting,American,Winslow Homer,Oil on canvas,Men|Farmers
True,762,The Last Moments of John Brown,The American Wing,Painting,American,Thomas Hovenden,Oil on canvas,American Civil War|Soldiers|Firearms|Infants|Men|Women
True,761,Autumn Oaks,The American Wing,Painting,American,George Inness,Oil on canvas,Cows|Landscapes|Autumn
False,761,Delaware Water Gap,The American Wing,Painting,American,George Inness,Oil on canvas,Cows|Rivers|Landscapes|Rainbows
False,760,Peace and Plenty,The American Wing,Painting,American,George Inness,Oil on canvas,Landscapes
True,770,"Spring Blossoms, Montclair, New Jersey",The American Wing,Painting,American,George Inness,Oil and crayon or charcoal on canvas,Landscapes|Trees|Spring
False,763,"Christmas-Time, The Blodgett Family",The American Wing,Painting,American,Eastman Johnson,Oil on canvas,Interiors|Children|Men|Women|Genre Scene|Family
False,763,Corn Husking at Nantucket,The American Wing,Painting,American,Eastman Johnson,Oil on canvas,Crowd|Genre Scene
True,763,The Hatch Family,The American Wing,Painting,American,Eastman Johnson,Oil on canvas,Reading|Needlework|Interiors|Boys|Girls|Men|Women|Family|Toys
False,763,The New Bonnet,The American Wing,Painting,American,Eastman Johnson,Oil on academy board,Interiors|Men|Women|Genre Scene
True,751,Edward and Sarah Rutter,The American Wing,Painting,American,Joshua Johnson,Oil on canvas,Portraits|Birds|Strawberries|Girls
False,719,"Washington Reviewing the Western Army at Fort Cumberland, Maryland",The American Wing,Painting,American,Frederick Kemmelmeyer,Oil on canvas,Soldiers|George Washington|Army|Horse Riding
True,761,"Eaton's Neck, Long Island",The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Landscapes|Beaches
False,759,Hudson River Scene,The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Rivers|Mountains|Landscapes
True,761,Lake George,The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Lakes|Landscapes
False,761,"Lake George, Free Study",The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Landscapes|Lakes
False,761,October in the Marshes,The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Landscapes
False,761,Passing off of the Storm,The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Seascapes|Storms|Boats
True,761,Sunset on the Sea,The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Sun|Seascapes|Evening
False,761,"Twilight on the Sound, Darien, Connecticut",The American Wing,Painting,American,John Frederick Kensett,Oil on canvas,Landscapes|Boats
True,761,Stage Fort across Gloucester Harbor,The American Wing,Painting,American,Fitz Henry Lane (formerly Fitz Hugh Lane),Oil on canvas,Human Figures|Trees|Boats|Ships
True,760,Washington Crossing the Delaware,The American Wing,Painting,American,Emanuel Leutze,Oil on canvas,Horses|Flags|Soldiers|American Revolution|George Washington|Men|Boats
False,770,The North Country,The American Wing,Painting,American,Willard Metcalf,Oil on canvas,Rivers|Hills|Landscapes
False,764,Sculptor's Studio,The American Wing,Painting,American,Louis Moeller,Oil on canvas,Sculpture|Interiors
False,765,The Teton Range,The American Wing,Painting,American,Thomas Moran,Oil on canvas,Landscapes|Mountains
True,756,Susan Walker Morse (The Muse),The American Wing,Painting,American,Samuel F. B. Morse,Oil on canvas,Drawing|Contemplation|Portraits|Women
False,763,Just Moved,The American Wing,Painting,American,Henry Mosler,Oil on canvas,Interiors|Cats|Boys|Infants|Men|Women|Genre Scene
False,754,Job Perit,The American Wing,Painting,American,Reuben Moulthrop,Oil on canvas,Men|Portraits
False,754,Sally Sanford Perit,The American Wing,Painting,American,Reuben Moulthrop,Oil on canvas,Portraits|Women
True,758,Cider Making,The American Wing,Painting,American,William Sidney Mount,Oil on canvas,Men|Women|Mountains|Working
False,758,The Raffle (Raffling for the Goose),The American Wing,Painting,American,William Sidney Mount,Oil on mahogany,Food|Men
False,768,Tea Leaves,The American Wing,Painting,American,William McGregor Paxton,Oil on canvas,Interiors|Women|Tea Drinking
True,753,George Washington,The American Wing,Painting,American,Charles Willson Peale,Oil on canvas,Cannons|George Washington|Men|Portraits
False,722,Margaret Strachan (Mrs. Thomas Harwood),The American Wing,Painting,American,Charles Willson Peale,Oil on canvas,Portraits|Women
False,753,Mrs. Samuel Mifflin and Her Granddaughter Rebecca Mifflin Francis,The American Wing,Painting,American,Charles Willson Peale,Oil on canvas,Girls|Portraits|Women
False,755,Thomas Willing,The American Wing,Painting,American,Charles Willson Peale,Oil on canvas,Men|Portraits
True,756,Still Life: Balsam Apple and Vegetables,The American Wing,Painting,American,James Peale,Oil on canvas,Vegetables|Tomatoes|Still Life
True,756,Still Life with Cake,The American Wing,Painting,American,Raphaelle Peale,Oil on wood,Cakes|Fruit|Grapes|Wine|Still Life
False,766,The Arab Jeweler,The American Wing,Painting,American,Charles Sprague Pearce,Oil on canvas,Jewelry|Tools|Men|Working
False,763,Talking It Over,The American Wing,Painting,American,Enoch Wood Perry,Oil on canvas,Men|Horses
False,758,The True American,The American Wing,Painting,American,Enoch Wood Perry,Oil on canvas,Newspapers|Men|Reading
False,763,Old Souvenirs,The American Wing,Painting,American,John F. Peto,Oil on canvas,Still Life
True,751,Mrs. Mayer and Daughter,The American Wing,Painting,American,Ammi Phillips,Oil on canvas,Girls|Portraits|Mothers|Women
True,747,The American School,The American Wing,Painting,American,Matthew Pratt,Oil on canvas,Painting|Men|Artists
True,772,Central Park,The American Wing,Painting,American,Maurice Brazil Prendergast ,Oil on canvas,Children|Men|Women|Parks|Horse Riding|Carriages
True,758,Leatherstocking's Rescue,The American Wing,Painting,American,John Quidor,Oil on canvas,Dogs|Animals|Men|Women
False,751,"Berks County Almshouse, 1880",The American Wing,Painting,American,John Rasmussen,Oil and gold paint on zinc,Eagles|Farms|Buildings|Factories
False,769,Fleur de Lis,The American Wing,Painting,American,Robert Reid,Oil on canvas,Women|Flowers
False,765,On the Southern Plains,The American Wing,Painting,American,Frederic Remington,Oil on canvas,Men|Soldiers|Horse Riding
False,756,Still Life: Flowers and Fruit,The American Wing,Painting,American,Severin Roesen,Oil on canvas,Eggs|Fruit|Flowers|Still Life
True,766,The Toilers of the Sea,The American Wing,Painting,American,Albert Pinkham Ryder,Oil on wood,Seascapes|Boats
False,770,Alpine Pool,The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Landscapes
True,770,Bringing Down Marble from the Quarries to Carrara,The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Men|Working
False,770,Egyptians Raising Water from the Nile,The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Men|Women|Rivers
False,770,The Hermit (Il solitario),The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Men|Deer|Trees
False,771,Lady with the Rose (Charlotte Louise Burckhardt),The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Roses|Portraits|Women
True,771,Madame X (Madame Pierre Gautreau),The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Portraits|Profiles|Women
True,771,Mr. and Mrs. I. N. Phelps Stokes,The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Portraits|Men|Women
False,770,Padre Sebastiano,The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Bedrooms|Men|Writing
False,770,Tyrolese Interior,The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Interiors|Men|Women|Tables
True,771,"The Wyndham Sisters: Lady Elcho, Mrs. Adeane, and Mrs. Tennant",The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Women|Portraits
False,765,In Hot Pursuit,The American Wing,Painting,American,Charles Schreyvogel,Oil on canvas,Firearms|Men|Horse Riding|Hills
False,765,My Bunkie,The American Wing,Painting,American,Charles Schreyvogel,Oil on canvas,Horse Riding|Soldiers|Men
False,768,Jungle Tales (Contes de la Jungle),The American Wing,Painting,American,James Jebusa Shannon,Oil on canvas,Girls|Women|Reading
False,766,Magnolia,The American Wing,Painting,American,James Jebusa Shannon,Oil on canvas,Women|Flowers
True,747,Francis Brinley,The American Wing,Painting,American,John Smibert,Oil on canvas,Men|Portraits
True,747,Mrs. Francis Brinley and Her Son Francis,The American Wing,Painting,American,John Smibert,Oil on canvas,Children|Infants|Portraits|Mothers|Women
False,719,George Washington,The American Wing,Painting,American,Gilbert Stuart,Oil on canvas,George Washington|Portraits|Men
False,753,Horatio Gates,The American Wing,Painting,American,Gilbert Stuart,Oil on canvas,American Revolution|Men|Portraits|Generals
True,755,Josef de Jaudenes y Nebot,The American Wing,Painting,American,Gilbert Stuart,Oil on canvas,Men|Portraits
True,755,Matilda Stoughton de Jaudenes,The American Wing,Painting,American,Gilbert Stuart,Oil on canvas,Portraits|Women
False,768,Across the Room,The American Wing,Painting,American,Edmund Charles Tarbell,Oil on canvas,Interiors|Women
False,717,John Dart,The American Wing,Painting,American,Jeremiah Theus,Oil on canvas,Men|Portraits
False,717,Mrs. John Dart,The American Wing,Painting,American,Jeremiah Theus,Oil on canvas,Portraits|Women
False,759,The Belated Party on Mansfield Mountain,The American Wing,Painting,American,Jerome B. Thompson,Oil on canvas,Men|Women|Mountains|Landscapes
False,764,The Etcher,The American Wing,Painting,American,Stacy Tolman,Oil on canvas,Men|Working|Artists|Interiors
False,758,Trappers,The American Wing,Painting,American,Jonathan K. Trego|J. L. Williams,Oil on canvas,Horse Riding|Dogs|Snow|Men
True,753,George Washington and William Lee,The American Wing,Painting,American,John Trumbull,Oil on canvas,George Washington|Men|Portraits|Horses|Servants
False,719,George Washington before the Battle of Trenton,The American Wing,Painting,American,John Trumbull,Oil on canvas,George Washington|Horses|Soldiers|American Revolution|Men|Portraits
True,753,The Sortie Made by the Garrison of Gibraltar,The American Wing,Painting,American,John Trumbull,Oil on canvas,Men|Battles|Soldiers
False,753,Thomas Jefferson,The American Wing,Painting,American,John Trumbull,Oil on mahogany,Thomas Jefferson|Portraits|Men
False,753,Thomas Mifflin,The American Wing,Painting,American,John Trumbull,Oil on mahogany,Men|Portraits
False,766,Dawn—Early Spring,The American Wing,Painting,American,Dwight William Tryon,Oil on wood,Landscapes|Dawn
True,770,Arques-la-Bataille,The American Wing,Painting,American,John Henry Twachtman,Oil on canvas,Landscapes|Rivers
False,764,Glass Blowers of Murano,The American Wing,Painting,American,Charles Frederick Ulrich,Oil on wood,Interiors|Working|Men|Women
False,756,Portrait of the Artist,The American Wing,Painting,American,John Vanderlyn,Oil on canvas,Men|Self-portraits
False,747,Young Lady with a Rose,The American Wing,Painting,American,Pieter Vanderlyn,Oil on canvas,Profiles|Women|Roses
True,766,Lair of the Sea Serpent,The American Wing,Painting,American,Elihu Vedder,Oil on canvas,Serpents|Beaches
False,808,The Lost Mind,The American Wing,Painting,American,Elihu Vedder,Oil on canvas,Women
True,763,Interior View of the Metropolitan Museum of Art when in Fourteenth Street,The American Wing,Painting,American,Frank Waller,Oil on canvas,Women|Museums|Interiors
True,766,The Rajah Starting on a Hunt,The American Wing,Painting,American,Edwin Lord Weeks,Oil on canvas.,Birds|Palaces|Men|Horse Riding|Leopards
True,770,The Red Bridge,The American Wing,Painting,American,Julian Alden Weir,Oil on canvas,Bridges|Rivers|Trees
False,753,Moses Shown the Promised Land,The American Wing,Painting,American,Benjamin West,Oil on wood,Men|Moses|Angels
False,717,Sarah Ursula Rose,The American Wing,Painting,American,Benjamin West,Oil on canvas,Portraits|Women
True,771,Arrangement in Flesh Colour and Black: Portrait of Theodore Duret,The American Wing,Painting,American,James McNeill Whistler,Oil on canvas,Portraits|Men
True,766,"Cremorne Gardens, No. 2",The American Wing,Painting,American,James McNeill Whistler,Oil on canvas,Parks|Men|Women
True,761,The Trout Pool,The American Wing,Painting,American,Worthington Whittredge,Oil on canvas,Forests|Landscapes
False,747,William Axtell,The American Wing,Painting,American,John Wollaston,Oil on canvas,Men|Portraits
True,762,A Bit of War History: The Veteran,The American Wing,Painting,American,Thomas Waterman Wood,Oil on canvas,Soldiers|Men|American Civil War
True,762,A Bit of War History: The Contraband,The American Wing,Painting,American,Thomas Waterman Wood,Oil on canvas,American Civil War|Firearms|Men|Portraits
True,762,A Bit of War History: The Recruit,The American Wing,Painting,American,Thomas Waterman Wood,Oil on canvas,Soldiers|Firearms|Portraits|American Civil War|Men
False,770,Arques-la-Bataille,The American Wing,Painting,American,John Henry Twachtman,Oil on canvas,Landscapes
True,763,The Contest for the Bouquet: The Family of Robert Gordon in Their New York Dining-Room,The American Wing,Painting,American,Seymour Joseph Guy,Oil on canvas,Dining Rooms|Children|Women|Playing|Family
False,756,Queen Victoria,The American Wing,Painting,American,Thomas Sully,Oil on canvas,Portraits|Queen Victoria|Women
False,769,The Water Garden,The American Wing,Painting,American,Childe Hassam,Oil on canvas,Gardens|Ponds|Flowers|Landscapes
True,769,"Celia Thaxter's Garden, Isles of Shoals, Maine",The American Wing,Painting,American,Childe Hassam,Oil on canvas,Gardens|Oceans|Flowers|Poppies|Landscapes
True,768,A Rose,The American Wing,Painting,American,Thomas Anshutz,Oil on canvas,Portraits|Women
False,769,"Surf, Isles of Shoals",The American Wing,Painting,American,Childe Hassam,Oil on canvas,Seascapes
True,771,Mrs. Hugh Hammersley,The American Wing,Painting,American,John Singer Sargent,Oil on canvas,Portraits|Women
False,758,Conversation Piece,The American Wing,Painting,American,Lilly Martin Spencer,Oil on canvas,Interiors|Dolls|Infants|Fathers|Mothers
True,755,George Washington,The American Wing,Painting,American,Gilbert Stuart,Oil on canvas,George Washington|Men|Portraits
True,756,Michael Angelo and Emma Clara Peale,The American Wing,Painting,American,Rembrandt Peale,Oil on canvas,Boys|Girls|Portraits
False,764,Fair Critics,The American Wing,Painting,American,Charles Courtney Curran,Oil on canvas,Painting|Artists|Men|Women
False,718,The Temptation of Eros,The American Wing,Painting,,Angelica Kauffmann,Oil on canvas,Women|Eros
False,718,The Victory of Eros,The American Wing,Painting,,Angelica Kauffmann,Oil on canvas,Roses|Women|Eros
False,753,Captain John Gell,The American Wing,Painting,American,Gilbert Stuart,Oil on canvas,Men|Portraits
True,766,Flight Into Egypt,The American Wing,Painting,American,Henry Ossawa Tanner,Oil on canvas,Holy Family
False,719,Elizabeth Greenleaf,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Roses|Girls|Portraits
False,719,John Greenleaf,The American Wing,Painting,American,John Singleton Copley,Oil on canvas,Portraits|Lambs|Boys
False,766,"Study for ""Christ at the Home of Lazarus""",The American Wing,Painting,American,Henry Ossawa Tanner,Oil on canvas,Christ|Women
False,719,Portrait of a Lady,The American Wing,Painting,American,Lawrence Kilburn (or Kilbrunn),Oil on canvas,Portraits|Women
False,758,Rip Van Winkle,The American Wing,Painting,American,Albertis del Orient Browere,Oil on canvas,Children|Men|Women
True,759,Landscape with Cows Watering in a Stream,The American Wing,Painting,American,Robert S. Duncanson,Oil on canvas,Cows|Landscapes
False,753,General George Eliott,The American Wing,Painting,American,Mather Brown,Oil on canvas,Battles|Swords|Men|Generals
True,751,Lake George and the Village of Caldwell,The American Wing,Painting,American,Thomas Chambers,Oil on canvas,Lakes|Landscapes|Villages|Boats
